"Term ","Source ","Definition ","Score","Info if Source 7"
"Aggregated data",7,"A form of anonymisation of unit records involving combinations such that individual details are not disclosed. ","***","Source - APPSI Expert Member"
"Anonymisation",7,"The Process of adapting data so that individual people or businesses cannot be identified from it. ","****","Source - APPSI panel"
"Application Programming Interface (API)",7,"A specification intended to be used as an interface by software components to communicate with each other. An API may include specifications for routines, data structures, object classes, and variables.","****","Source - Wikipedia"
"Attribution licence",1,"A licence that requires that the original source of the licensed material is cited (attributed).","***",
"Authoritative",7,"Able to be trusted as being accurate or true; reliable: e.g. ""clear, authoritative information"". ","****","Source - Wikipedia"
"Big data",7,"Datasets that are too awkward to work with using traditional, hands-on database management tools.","**","Source – The Big Data Opportunity, Policy Exchange, ISBN: 978-1-907689-22-2, 2012"
"Big data analytics",7,"The process of examining and interrogating big data assets to derive insights of value for decision making.","****","Source – The Big Data Opportunity, Policy Exchange, ISBN: 978-1-907689-22-2, 2012"
"Click-use",3,"The online licensing system for Crown and Parliamentary copyright information developed by the Office of Public Sector Information in 2001. Click-Use was replaced by the Open Government Licence and the Open Parliament Licence but remains historically significant.","****",
"Commercial use/re-use",3,"Use that is intended for or directed toward commercial advantage or private monetary compensation.  For the purposes of the UK Government Licensing Framework, 'private monetary compensation' does not include the exchange of the Information for other copyrighted works by means of digital file-sharing or otherwise provided there is no payment of any monetary compensation in connection with the exchange of the Information.","***",
"Content",7,"Published information","**","Source - Wikipedia"
"Copyright","3*","Part of the family of intellectual property rights including trademarks, designs and patents. Copyright applies automatically when a work is created in a material form. Copyright applies to literary works, such as website articles/annual reports; artistic works maps, drawings, paintings and photographs; films; sound recordings and typographical arrangements. The first owner of copyright will normally be the artist/author or organisation that created the work (except for Crown copyright). Copyright subsists in a work regardless of the level of artistic or literary merit. The standard term of copyright is the life of the author plus 70 years.","****",
"Core-reference data",6,"Authoritative or definitive data necessary to use other information, produced by the public sector as a service in itself due to its high importance and value. ","**",
"Costs - Fixed",2,"Costs which do not vary with the level of activity in the short run.","***",
